model_version,lob,term,tag,charge_off_month,pay_off_month,total_loss_month
franchise4.0,FRN,72,13,20.840477771812445,54.67483986513889,27.337419932569446
franchise4.0,FRN,72,14,21.92354141196623,56.43854437691756,28.21927218845878
franchise4.0,FRN,72,15,24.6868957418778,58.20224888869624,29.10112444434812
franchise4.0,STG,36,0,13.94192941958621,24.291234143593343,12.145617071796671
franchise4.0,STG,36,1,15.670222041170664,25.64074715157075,12.820373575785375
franchise4.0,STG,36,2,16.83482468233831,26.990260159548157,13.495130079774079
franchise4.0,STG,36,3,18.556493443682267,28.33977316752556,14.16988658376278
franchise4.0,STG,36,4,15.392172940180885,29.68928617550297,14.844643087751486
franchise4.0,STG,36,5,17.075696405996307,31.03879918348038,15.51939959174019
franchise4.0,STG,36,6,18.285721506925146,32.388312191457786,16.194156095728893
franchise4.0,STG,36,7,19.98517369991118,33.73782519943519,16.868912599717596
franchise4.0,STG,36,8,15.364310095000299,35.08733820741261,17.543669103706304
franchise4.0,STG,36,9,17.0500342138903,36.436851215390014,18.218425607695007
franchise4.0,STG,36,10,17.95791957689036,37.786364223367414,18.893182111683707
franchise4.0,STG,36,11,19.349783038177513,39.13587723134482,19.56793861567241
franchise4.0,STG,36,12,13.69349199610144,40.485390239322236,20.242695119661118
franchise4.0,STG,36,13,15.946262912919419,41.83490324729964,20.91745162364982
franchise4.0,STG,36,14,16.77497796189374,43.18441625527705,21.592208127638525
franchise4.0,STG,36,15,18.88938124711612,44.53392926325446,22.26696463162723
franchise4.0,STG,48,0,15.491032688429119,26.990260159548157,13.495130079774079
franchise4.0,STG,48,1,17.41135782352296,28.48971905730083,14.244859528650416
franchise4.0,STG,48,2,18.705360758153677,29.989177955053506,14.994588977526753
franchise4.0,STG,48,3,20.61832604853585,31.488636852806177,15.744318426403089
franchise4.0,STG,48,4,17.10241437797876,32.988095750558855,16.494047875279428
franchise4.0,STG,48,5,18.972996006662562,34.48755464831153,17.243777324155765
franchise4.0,STG,48,6,20.317468341027936,35.987013546064205,17.993506773032102
franchise4.0,STG,48,7,22.205748555456864,37.48647244381688,18.74323622190844
franchise4.0,STG,48,8,17.071455661111443,38.98593134156956,19.49296567078478
franchise4.0,STG,48,9,18.94448245987811,40.485390239322236,20.242695119661118
franchise4.0,STG,48,10,19.953243974322625,41.9848491370749,20.99242456853745
franchise4.0,STG,48,11,21.499758931308342,43.48430803482758,21.74215401741379
franchise4.0,STG,48,12,15.214991106779376,44.98376693258026,22.49188346629013
franchise4.0,STG,48,13,17.718069903243798,46.483225830332934,23.241612915166467
franchise4.0,STG,48,14,18.638864402104154,47.98268472808561,23.991342364042804
franchise4.0,STG,48,15,20.988201385684576,49.48214362583828,24.74107181291914
franchise4.0,STG,60,0,17.040135957272035,29.68928617550298,14.84464308775149
franchise4.0,STG,60,1,19.152493605875257,31.33869096303092,15.66934548151546
franchise4.0,STG,60,2,20.57589683396905,32.98809575055886,16.49404787527943
